DATE	TIME	ASK	BID	PRESSURE	CREDIT	VWAP	VOLUME
2021/04/30	11:25:02	108200	108000	-68	51.14	108390	6243
2021/04/30	11:29:08	108100	108000	-78	51.14	108386	6336
2021/04/30	11:29:57	108000	107900	-85	51.14	108383	6377
2021/04/30	11:38:38	108000	107900	-85	51.14	108381	6411
2021/04/30	11:41:11	108000	107900	-85	51.14	108381	6411
2021/04/30	12:01:00	108000	107900	-85	51.14	108381	6411
2021/04/30	12:05:04	108300	108200	-77	51.14	108381	6411
2021/04/30	12:17:35	108200	108100	-100	51.14	108381	6411
2021/04/30	12:26:05	108300	108200	-92	51.14	108381	6411
2021/04/30	12:29:25	108200	108100	-94	51.14	108381	6411
2021/04/30	12:30:03	108000	107900	-110	51.14	108373	6669
2021/04/30	12:30:09	107900	107700	-107	51.14	108368	6739
2021/04/30	12:30:14	107900	107800	-92	51.14	108365	6770
2021/04/30	12:31:20	108000	107900	-79	51.14	108362	6816
2021/04/30	12:31:58	108100	108000	-70	51.14	108360	6848
2021/04/30	12:37:36	108100	107900	-72	51.14	108351	7051
2021/04/30	12:37:47	108000	107800	-71	51.14	108349	7088
2021/04/30	12:49:51	108000	107900	-62	51.14	108331	7358
2021/04/30	12:50:07	107900	107800	-67	51.14	108328	7411
2021/04/30	12:57:33	107800	107600	-68	51.14	108306	7735
2021/04/30	12:59:02	107800	107700	-74	51.14	108303	7769
2021/04/30	12:59:08	107800	107600	-77	51.14	108302	7787
2021/04/30	12:59:19	107800	107700	-71	51.14	108302	7787
2021/04/30	13:00:13	107900	107800	-65	51.14	108291	7962
2021/04/30	13:00:57	107800	107700	-69	51.14	108286	8042
2021/04/30	13:07:08	107900	107800	-60	51.14	108282	8109
2021/04/30	13:07:19	107800	107700	-65	51.14	108276	8211
2021/04/30	13:08:29	107900	107800	-61	51.14	108275	8231
2021/04/30	13:12:56	107900	107700	-65	51.14	108267	8389
2021/04/30	13:18:10	107700	107600	-64	51.14	108257	8533
2021/04/30	13:24:53	107800	107700	-62	51.14	108250	8650
2021/04/30	13:25:04	107700	107600	-68	51.14	108245	8712
2021/04/30	13:29:56	107500	107400	-59	51.14	108228	8933
2021/04/30	13:31:29	107600	107500	-79	51.14	108219	9033
2021/04/30	13:31:40	107500	107400	-77	51.14	108218	9046
2021/04/30	13:36:02	107400	107300	-68	51.14	108208	9155
2021/04/30	13:43:18	107500	107400	-55	51.14	108198	9271
2021/04/30	13:43:35	107600	107500	-52	51.14	108196	9299
2021/04/30	13:45:46	107700	107600	-51	51.14	108193	9351
2021/04/30	13:47:56	107800	107700	-44	51.14	108189	9425
2021/04/30	13:49:45	107700	107600	-53	51.14	108182	9560
2021/04/30	13:50:01	107700	107500	-56	51.14	108180	9599
2021/04/30	13:50:56	107700	107600	-55	51.14	108179	9601
2021/04/30	13:51:07	107700	107500	-56	51.14	108179	9617
2021/04/30	13:57:14	107700	107600	-50	51.14	108175	9678
2021/04/30	13:57:35	107600	107500	-54	51.14	108171	9741
2021/04/30	13:59:13	107800	107600	-46	51.14	108166	9848
2021/04/30	14:00:02	107800	107700	-45	51.14	108164	9887
2021/04/30	14:00:13	107900	107800	-42	51.14	108162	9945
2021/04/30	14:02:03	107800	107700	-45	51.14	108159	10031
2021/04/30	14:09:51	107600	107500	-50	51.14	108145	10349
2021/04/30	14:21:20	107700	107600	-49	51.14	108127	10701
2021/04/30	14:21:58	107600	107500	-58	51.14	108121	10822
2021/04/30	14:29:30	107500	107400	-63	51.14	108108	11065
2021/04/30	14:30:57	107800	107600	-63	51.14	108089	11509
2021/04/30	14:31:02	107700	107500	-52	51.14	108086	11580
2021/04/30	14:35:34	107700	107600	-51	51.14	108080	11717
2021/04/30	14:39:13	107800	107700	-43	51.14	108075	11868
2021/04/30	14:41:19	107800	107600	-43	51.14	108067	12156
2021/04/30	14:41:52	107800	107700	-45	51.14	108067	12157
2021/04/30	14:46:30	107700	107600	-45	51.14	108053	12638
2021/04/30	14:50:08	107700	107500	-48	51.14	108047	12820
2021/04/30	14:50:13	107700	107600	-53	51.14	108047	12820
2021/04/30	14:53:23	107900	107800	-27	51.14	108039	13115
2021/04/30	14:53:34	108000	107900	-27	51.14	108038	13164
2021/04/30	14:54:41	108100	108000	-28	51.14	108038	13287
2021/04/30	14:54:52	107900	107700	-31	51.14	108036	13515
2021/04/30	14:55:25	107900	107800	-29	51.14	108035	13567
2021/04/30	14:56:14	107800	107700	-27	51.14	108034	13602
2021/04/30	14:56:41	107900	107800	-27	51.14	108033	13658
2021/04/30	14:57:35	107800	107700	-29	51.14	108032	13739
2021/04/30	14:58:14	107700	107500	-34	51.14	108024	14010
2021/04/30	14:58:19	107700	107600	-31	51.14	108024	14013
2021/04/30	14:59:08	107800	107700	-24	51.14	108019	14274
2021/04/30	14:59:33	107900	107800	-21	51.14	108015	14606
2021/04/30	14:59:44	107600	107500	-26	51.14	108011	14764
2021/04/30	14:59:55	107800	107600	-26	51.14	108004	15083
2021/04/30	20:47:47	107800	107600	-23	51.14	107883	24978
2021/04/30	20:56:28	107800	107600	-23	51.14	107883	24978
2021/04/30	20:58:53	107800	107600	-23	51.14	107883	24978
2021/04/30	21:01:04	107800	107600	-23	51.14	107883	24978
2021/04/30	21:03:00	107800	107600	-23	51.14	107883	24978
2021/04/30	22:13:59	107800	107600	-23	51.14	107883	24978
2021/04/30	22:50:27	107800	107600	-23	51.14	107883	24978
2021/04/30	22:59:23	107800	107600	-23	51.14	107883	24978
